age,gender,weight_kg,height_cm,bmi,activity_level,fitness_level,goal,personality,location,hours_available_per_week,monthly_budget_usd,health_issue,prefers_team_sport,prefers_outdoor,prefers_contact_sport,risk_tolerance,competitive_level,coordination_level,striking_preference,grappling_preference,speed_agility,endurance_level,preferred_distance,recommended_sport,sport_difficulty,sport_type,sport_environment,sport_budget_level,calories_burned_per_hour,user_id,user_rating,clicked,practiced
61,Male,61.1,180.3,18.8,Sedentary,Beginner,Have Fun,Ambivert,Suburban,1.3,27.0,Back Pain,0,0,0,1,3,1,1,1,1,2,3,Chess,Low,Individual,Indoor,Low,100,U00019,4.3,1,1
63,Male,78.0,186.2,22.5,Lightly Active,Beginner,Reduce Stress,Ambivert,Rural,4.5,20.0,Knee Pain,0,0,1,0,5,1,1,1,1,0,3,Chess,Low,Individual,Indoor,Low,100,U00020,4.0,1,1
60,Male,129.0,172.0,43.6,Sedentary,Advanced,Have Fun,Extrovert,Urban,3.1,12.0,Back Pain,0,0,0,1,3,0,1,1,0,2,3,Chess,Low,Individual,Indoor,Low,100,U00021,4.1,1,1
37,Female,73.7,159.7,28.9,Sedentary,Advanced,Reduce Stress,Extrovert,Suburban,4.2,2.0,Knee Pain,0,0,1,0,4,0,1,0,0,2,4,Chess,Low,Individual,Indoor,Low,100,U00022,4.9,1,0
56,Female,93.8,169.6,32.6,Sedentary,Intermediate,Social / Meet People,Introvert,Urban,5.1,41.0,Asthma,0,0,0,0,3,1,0,1,0,0,5,Chess,Low,Individual,Indoor,Low,100,U00023,3.7,1,1
53,Female,67.3,163.7,25.1,Lightly Active,Beginner,Reduce Stress,Extrovert,Suburban,2.7,13.0,Asthma,0,0,1,0,4,0,0,0,0,0,3,Chess,Low,Individual,Indoor,Low,100,U00024,3.6,1,0
64,Female,52.2,160.4,20.3,Sedentary,Advanced,Have Fun,Ambivert,Suburban,2.3,29.0,Heart Condition,0,0,1,0,5,0,0,0,2,0,4,Chess,Low,Individual,Indoor,Low,100,U00025,4.5,1,1
24,Male,83.4,184.1,24.6,Sedentary,Advanced,Have Fun,Introvert,Urban,5.2,18.0,Asthma,0,0,1,0,5,1,0,1,0,0,5,Chess,Low,Individual,Indoor,Low,100,U00026,3.9,1,1
19,Male,96.9,175.1,31.6,Sedentary,Beginner,Social / Meet People,Introvert,Rural,1.5,25.0,Knee Pain,0,0,0,0,5,0,0,0,1,2,3,Chess,Low,Individual,Indoor,Low,100,U00027,4.3,1,1
17,Female,43.7,158.1,17.5,Sedentary,Intermediate,Have Fun,Extrovert,Rural,4.5,4.0,Heart Condition,0,0,1,0,3,0,1,1,0,2,5,Chess,Low,Individual,Indoor,Low,100,U00028,3.8,1,1
32,Male,117.4,176.7,37.6,Lightly Active,Advanced,Social / Meet People,Introvert,Suburban,4.5,12.0,Back Pain,0,0,0,1,5,0,0,1,1,1,3,Chess,Low,Individual,Indoor,Low,100,U00029,3.6,0,1
70,Male,72.3,180.9,22.1,Sedentary,Advanced,Have Fun,Introvert,Urban,2.1,48.0,Asthma,0,0,0,1,3,0,0,0,1,0,5,Chess,Low,Individual,Indoor,Low,100,U00030,4.3,1,1
67,Male,75.6,182.9,22.6,Sedentary,Beginner,Reduce Stress,Ambivert,Urban,2.1,15.0,None,0,0,0,1,4,2,1,0,0,2,4,Chess,Low,Individual,Indoor,Low,100,U00031,4.6,1,1
39,Female,88.5,162.3,33.6,Lightly Active,Intermediate,Reduce Stress,Extrovert,Suburban,2.3,18.0,Asthma,0,0,1,0,4,2,0,0,0,0,3,Chess,Low,Individual,Indoor,Low,100,U00032,3.7,1,1
35,Female,56.8,168.9,19.9,Lightly Active,Advanced,Have Fun,Extrovert,Suburban,3.1,29.0,None,0,0,1,1,4,1,0,0,0,2,3,Chess,Low,Individual,Indoor,Low,100,U00033,4.6,1,1
61,Male,82.8,177.4,26.3,Lightly Active,Advanced,Have Fun,Extrovert,Rural,5.2,42.0,Knee Pain,0,0,0,0,5,0,0,1,2,1,3,Chess,Low,Individual,Indoor,Low,100,U00034,3.9,0,0
12,Male,84.3,149.9,37.5,Sedentary,Beginner,Social / Meet People,Introvert,Urban,5.7,42.0,None,0,0,0,1,3,1,0,0,0,0,4,Chess,Low,Individual,Indoor,Low,100,U00035,4.9,1,0
8,Male,67.4,130.0,39.9,Lightly Active,Beginner,Reduce Stress,Introvert,Suburban,5.4,20.0,Heart Condition,0,0,0,1,4,2,0,0,1,1,4,Chess,Low,Individual,Indoor,Low,100,U00036,3.9,1,1
57,Female,88.8,161.4,34.1,Sedentary,Advanced,Social / Meet People,Ambivert,Suburban,2.7,26.0,Asthma,0,0,1,0,4,2,0,0,0,1,3,Chess,Low,Individual,Indoor,Low,100,U00037,4.2,1,0
17,Male,130.0,173.0,44.4,Sedentary,Intermediate,Have Fun,Extrovert,Rural,3.9,17.0,None,0,0,0,0,5,2,1,1,0,2,5,Chess,Low,Individual,Indoor,Low,100,U00038,4.0,0,1
34,Male,117.9,163.3,44.2,Sedentary,Intermediate,Social / Meet People,Ambivert,Urban,1.8,14.0,Heart Condition,0,0,1,0,4,0,0,0,1,1,4,Chess,Low,Individual,Indoor,Low,100,U00039,3.8,1,0
56,Female,43.2,155.7,17.8,Sedentary,Beginner,Reduce Stress,Ambivert,Suburban,1.8,19.0,None,0,0,1,1,3,0,0,0,2,2,5,Chess,Low,Individual,Indoor,Low,100,U00040,4.6,1,1
63,Female,53.8,156.0,22.1,Lightly Active,Advanced,Reduce Stress,Extrovert,Urban,1.3,7.0,Back Pain,0,0,0,0,5,2,1,0,2,0,4,Chess,Low,Individual,Indoor,Low,100,U00041,4.4,1,1
65,Female,54.4,153.4,23.1,Sedentary,Intermediate,Social / Meet People,Introvert,Urban,2.1,16.0,Asthma,0,0,0,0,3,0,1,1,2,0,3,Chess,Low,Individual,Indoor,Low,100,U00042,4.5,1,1
25,Male,101.1,176.4,32.5,Lightly Active,Intermediate,Social / Meet People,Introvert,Rural,2.9,17.0,Asthma,0,0,1,1,4,2,1,0,0,1,3,Chess,Low,Individual,Indoor,Low,100,U00043,4.5,0,1
64,Male,122.1,173.6,40.5,Lightly Active,Intermediate,Reduce Stress,Ambivert,Rural,5.2,3.0,Heart Condition,0,0,1,1,5,1,1,1,2,2,4,Chess,Low,Individual,Indoor,Low,100,U00044,4.9,0,0
61,Male,75.2,159.1,29.7,Lightly Active,Advanced,Reduce Stress,Introvert,Suburban,3.8,29.0,Back Pain,0,0,0,1,3,1,1,1,2,0,3,Chess,Low,Individual,Indoor,Low,100,U00045,3.6,1,1
19,Male,58.2,181.9,17.6,Lightly Active,Advanced,Social / Meet People,Introvert,Rural,4.0,18.0,Knee Pain,0,0,0,0,4,1,0,1,1,0,5,Chess,Low,Individual,Indoor,Low,100,U00046,4.8,1,1
44,Male,122.9,180.3,37.8,Sedentary,Advanced,Reduce Stress,Ambivert,Rural,2.7,46.0,Asthma,0,0,1,1,4,0,1,0,0,1,5,Chess,Low,Individual,Indoor,Low,100,U00047,4.7,1,1
42,Male,128.3,178.4,40.3,Lightly Active,Advanced,Have Fun,Introvert,Suburban,5.0,41.0,Heart Condition,0,0,0,0,5,1,1,1,0,0,4,Chess,Low,Individual,Indoor,Low,100,U00048,4.5,1,1
32,Female,117.5,172.5,39.5,Sedentary,Intermediate,Social / Meet People,Introvert,Suburban,3.7,22.0,None,0,0,0,0,3,2,0,1,1,0,5,Chess,Low,Individual,Indoor,Low,100,U00049,3.5,1,0
46,Male,96.7,161.9,36.9,Lightly Active,Advanced,Social / Meet People,Introvert,Urban,3.7,45.0,Asthma,0,0,0,1,3,0,0,0,2,2,3,Chess,Low,Individual,Indoor,Low,100,U00050,3.6,0,1
69,Female,80.5,158.4,32.1,Lightly Active,Beginner,Social / Meet People,Extrovert,Urban,1.5,27.0,Asthma,0,0,0,1,5,0,1,0,0,2,3,Chess,Low,Individual,Indoor,Low,100,U00051,4.8,1,1
9,Male,84.1,163.9,31.3,Sedentary,Advanced,Have Fun,Ambivert,Suburban,5.5,29.0,Knee Pain,0,0,1,0,4,0,1,1,1,0,3,Chess,Low,Individual,Indoor,Low,100,U00052,4.3,1,1
54,Female,117.8,169.1,41.2,Lightly Active,Beginner,Have Fun,Ambivert,Suburban,4.9,19.0,None,0,0,1,0,3,1,1,0,1,2,5,Chess,Low,Individual,Indoor,Low,100,U00053,4.5,0,1
8,Female,42.5,143.7,20.6,Sedentary,Beginner,Have Fun,Ambivert,Suburban,3.6,30.0,Heart Condition,0,0,0,0,3,0,1,1,0,0,4,Chess,Low,Individual,Indoor,Low,100,U00054,4.0,1,1
48,Male,79.1,171.5,26.9,Sedentary,Intermediate,Social / Meet People,Extrovert,Suburban,3.3,24.0,Back Pain,0,0,0,1,5,2,1,0,2,1,3,Chess,Low,Individual,Indoor,Low,100,U00055,4.2,1,0
14,Female,64.7,158.0,25.9,Sedentary,Advanced,Reduce Stress,Extrovert,Suburban,4.3,9.0,Asthma,0,0,0,0,4,1,1,0,0,0,5,Chess,Low,Individual,Indoor,Low,100,U00056,3.9,1,1
8,Female,37.4,148.4,17.0,Sedentary,Advanced,Social / Meet People,Ambivert,Suburban,2.0,10.0,Heart Condition,0,0,0,1,5,1,0,1,2,2,4,Chess,Low,Individual,Indoor,Low,100,U00057,4.9,1,1
9,Female,53.7,130.0,31.8,Sedentary,Beginner,Have Fun,Ambivert,Rural,4.8,14.0,Back Pain,0,0,1,1,3,2,0,1,1,2,3,Chess,Low,Individual,Indoor,Low,100,U00058,4.4,1,1
15,Male,87.4,166.3,31.6,Sedentary,Advanced,Social / Meet People,Ambivert,Urban,4.0,17.0,Heart Condition,0,0,0,0,3,2,1,1,2,1,4,Chess,Low,Individual,Indoor,Low,100,U00059,4.7,1,1
50,Female,63.1,172.9,21.1,Sedentary,Advanced,Reduce Stress,Ambivert,Suburban,1.4,10.0,Back Pain,0,0,1,0,5,0,1,1,1,0,5,Chess,Low,Individual,Indoor,Low,100,U00060,4.7,1,0
12,Female,49.1,139.9,25.1,Sedentary,Intermediate,Social / Meet People,Ambivert,Rural,2.3,31.0,None,0,0,1,0,5,1,1,1,0,1,4,Chess,Low,Individual,Indoor,Low,100,U00061,4.9,1,0
63,Male,85.9,175.8,27.8,Sedentary,Beginner,Reduce Stress,Introvert,Suburban,4.2,13.0,Back Pain,0,0,1,1,4,1,0,0,1,2,3,Chess,Low,Individual,Indoor,Low,100,U00062,3.6,1,0
18,Female,113.9,163.9,42.4,Sedentary,Intermediate,Have Fun,Extrovert,Suburban,3.8,33.0,Knee Pain,0,0,1,0,3,1,1,0,2,0,5,Chess,Low,Individual,Indoor,Low,100,U00063,4.4,1,1
13,Male,96.7,166.2,35.0,Sedentary,Intermediate,Have Fun,Introvert,Suburban,3.0,39.0,Knee Pain,0,0,1,1,5,0,0,0,2,1,3,Chess,Low,Individual,Indoor,Low,100,U00064,4.4,1,1
28,Male,82.0,186.0,23.7,Lightly Active,Beginner,Social / Meet People,Ambivert,Rural,5.7,20.0,Heart Condition,0,0,1,0,4,2,1,0,2,2,3,Chess,Low,Individual,Indoor,Low,100,U00065,4.8,1,1
69,Male,101.5,163.2,38.1,Sedentary,Beginner,Have Fun,Introvert,Urban,3.5,34.0,Knee Pain,0,0,0,0,5,2,1,0,2,1,4,Chess,Low,Individual,Indoor,Low,100,U00066,3.6,1,1
41,Female,73.6,168.9,25.8,Lightly Active,Advanced,Social / Meet People,Introvert,Urban,5.0,35.0,None,0,0,0,1,4,2,1,0,0,0,5,Chess,Low,Individual,Indoor,Low,100,U00067,4.6,0,1
44,Female,112.1,163.2,42.1,Lightly Active,Advanced,Social / Meet People,Extrovert,Urban,5.7,2.0,Knee Pain,0,0,1,0,3,2,1,0,1,1,5,Chess,Low,Individual,Indoor,Low,100,U00068,4.6,1,1
21,Male,110.1,175.1,35.9,Sedentary,Advanced,Reduce Stress,Ambivert,Rural,5.0,37.0,Asthma,0,0,0,0,4,2,1,0,0,1,5,Chess,Low,Individual,Indoor,Low,100,U00069,4.0,1,1
31,Male,118.5,169.0,41.5,Sedentary,Intermediate,Social / Meet People,Ambivert,Rural,2.6,27.0,Heart Condition,0,0,1,0,3,1,0,1,0,1,4,Chess,Low,Individual,Indoor,Low,100,U00070,3.6,0,1
9,Male,91.0,177.4,28.9,Lightly Active,Intermediate,Social / Meet People,Ambivert,Urban,3.6,47.0,Back Pain,0,0,0,0,4,0,1,0,0,1,3,Chess,Low,Individual,Indoor,Low,100,U00071,4.4,0,0
51,Male,72.2,163.8,26.9,Lightly Active,Beginner,Social / Meet People,Ambivert,Urban,4.7,0.0,Heart Condition,0,0,1,1,4,1,1,1,1,0,3,Chess,Low,Individual,Indoor,Low,100,U00072,4.0,1,0
55,Male,130.0,179.0,42.3,Sedentary,Beginner,Social / Meet People,Introvert,Urban,4.4,11.0,Knee Pain,0,0,0,0,3,2,1,1,2,2,4,Chess,Low,Individual,Indoor,Low,100,U00073,4.7,1,1
31,Male,82.0,174.3,27.0,Sedentary,Advanced,Reduce Stress,Introvert,Rural,3.6,12.0,Knee Pain,0,0,0,1,3,0,1,0,1,0,3,Chess,Low,Individual,Indoor,Low,100,U00074,3.6,1,1
61,Male,66.1,175.4,21.5,Sedentary,Advanced,Reduce Stress,Introvert,Urban,2.3,26.0,Knee Pain,0,0,1,0,5,2,1,0,0,2,3,Chess,Low,Individual,Indoor,Low,100,U00075,4.5,1,1
16,Female,103.1,158.0,41.3,Sedentary,Advanced,Have Fun,Introvert,Rural,5.8,43.0,None,0,0,0,1,3,0,0,0,1,2,4,Chess,Low,Individual,Indoor,Low,100,U00076,4.2,1,1
15,Male,113.9,176.2,36.7,Lightly Active,Intermediate,Reduce Stress,Introvert,Urban,5.5,50.0,Knee Pain,0,0,1,0,4,0,0,1,2,1,5,Chess,Low,Individual,Indoor,Low,100,U00077,3.5,1,1
20,Male,127.1,176.1,41.0,Lightly Active,Beginner,Social / Meet People,Ambivert,Urban,2.7,12.0,Heart Condition,0,0,1,1,5,2,1,1,2,0,5,Chess,Low,Individual,Indoor,Low,100,U00078,5.0,1,1
52,Female,87.2,173.4,29.0,Sedentary,Advanced,Reduce Stress,Extrovert,Rural,2.1,45.0,Knee Pain,0,0,1,1,4,0,0,1,2,1,3,Chess,Low,Individual,Indoor,Low,100,U00079,4.0,1,1
53,Male,70.0,175.2,22.8,Lightly Active,Beginner,Social / Meet People,Extrovert,Rural,4.8,27.0,Knee Pain,0,0,0,1,5,1,0,0,1,1,5,Chess,Low,Individual,Indoor,Low,100,U00080,3.8,1,1
24,Female,45.4,163.5,17.0,Lightly Active,Intermediate,Have Fun,Extrovert,Suburban,1.4,43.0,Heart Condition,0,0,1,1,5,2,1,0,2,0,5,Chess,Low,Individual,Indoor,Low,100,U00081,3.7,1,1
40,Female,65.2,169.8,22.6,Sedentary,Intermediate,Reduce Stress,Extrovert,Suburban,6.0,21.0,Heart Condition,0,0,0,0,5,2,0,0,2,1,5,Chess,Low,Individual,Indoor,Low,100,U00082,3.8,0,0
21,Female,88.9,160.3,34.6,Sedentary,Advanced,Have Fun,Extrovert,Urban,5.7,21.0,Back Pain,0,0,1,1,5,0,0,0,2,0,4,Chess,Low,Individual,Indoor,Low,100,U00083,4.1,0,1
67,Female,40.0,158.7,15.9,Sedentary,Intermediate,Social / Meet People,Ambivert,Suburban,2.0,5.0,Back Pain,0,0,1,1,5,2,0,1,0,1,5,Chess,Low,Individual,Indoor,Low,100,U00084,4.8,0,1
27,Female,73.1,159.0,28.9,Lightly Active,Intermediate,Social / Meet People,Introvert,Suburban,4.4,22.0,None,0,0,1,0,4,1,0,0,1,2,3,Chess,Low,Individual,Indoor,Low,100,U00085,4.4,1,1
24,Female,82.2,174.8,26.9,Sedentary,Advanced,Reduce Stress,Ambivert,Urban,4.8,48.0,None,0,0,1,0,4,2,1,0,0,0,4,Chess,Low,Individual,Indoor,Low,100,U00086,4.7,1,1
39,Male,89.1,172.3,30.0,Lightly Active,Beginner,Reduce Stress,Extrovert,Urban,3.6,4.0,Heart Condition,0,0,1,0,3,1,1,0,1,1,5,Chess,Low,Individual,Indoor,Low,100,U00087,3.5,1,1
33,Female,46.0,168.5,16.2,Lightly Active,Beginner,Social / Meet People,Introvert,Rural,5.5,30.0,None,0,0,0,0,3,1,1,1,1,1,4,Chess,Low,Individual,Indoor,Low,100,U00088,5.0,1,1
54,Male,94.4,178.9,29.5,Sedentary,Intermediate,Reduce Stress,Extrovert,Suburban,3.4,2.0,Asthma,0,0,1,1,5,1,1,1,2,0,3,Chess,Low,Individual,Indoor,Low,100,U00089,4.3,1,1
52,Male,109.0,167.8,38.7,Sedentary,Advanced,Reduce Stress,Extrovert,Suburban,4.3,17.0,None,0,0,0,0,4,2,0,0,0,1,5,Chess,Low,Individual,Indoor,Low,100,U00090,3.6,1,1
22,Male,118.0,171.3,40.2,Sedentary,Intermediate,Have Fun,Ambivert,Suburban,4.7,21.0,Asthma,0,0,1,1,4,1,0,0,0,1,3,Chess,Low,Individual,Indoor,Low,100,U00091,4.1,1,0
41,Female,114.9,172.1,38.8,Sedentary,Intermediate,Social / Meet People,Ambivert,Suburban,5.6,11.0,Heart Condition,0,0,1,1,3,2,0,0,1,1,5,Chess,Low,Individual,Indoor,Low,100,U00092,4.1,1,1
49,Female,78.2,172.8,26.2,Lightly Active,Advanced,Have Fun,Introvert,Suburban,3.5,12.0,Asthma,0,0,0,0,4,2,0,1,1,2,4,Chess,Low,Individual,Indoor,Low,100,U00093,4.7,1,1
24,Male,116.1,168.9,40.7,Sedentary,Advanced,Have Fun,Introvert,Rural,3.3,12.0,Back Pain,0,0,1,1,4,0,1,1,1,0,3,Chess,Low,Individual,Indoor,Low,100,U00094,4.1,1,1
12,Female,58.3,133.7,32.6,Lightly Active,Beginner,Have Fun,Extrovert,Urban,4.0,18.0,Asthma,0,0,0,0,3,2,0,1,2,0,4,Chess,Low,Individual,Indoor,Low,100,U00095,4.9,1,1
21,Female,43.1,161.1,16.6,Sedentary,Advanced,Social / Meet People,Extrovert,Urban,5.7,16.0,None,0,0,0,1,4,0,1,1,2,2,4,Chess,Low,Individual,Indoor,Low,100,U00096,4.6,1,1
41,Male,100.9,171.8,34.2,Sedentary,Advanced,Social / Meet People,Ambivert,Rural,3.4,33.0,Asthma,0,0,0,1,4,0,1,1,1,1,5,Chess,Low,Individual,Indoor,Low,100,U00097,4.2,1,1
15,Female,54.7,166.6,19.7,Lightly Active,Beginner,Social / Meet People,Extrovert,Rural,4.5,42.0,Knee Pain,0,0,0,1,4,1,1,0,1,2,3,Chess,Low,Individual,Indoor,Low,100,U00098,4.2,1,1
19,Male,123.0,169.3,42.9,Lightly Active,Beginner,Have Fun,Ambivert,Rural,4.3,20.0,Heart Condition,0,0,0,1,4,1,1,1,1,2,3,Chess,Low,Individual,Indoor,Low,100,U00099,3.8,1,0
40,Male,54.9,173.2,18.3,Lightly Active,Beginner,Reduce Stress,Extrovert,Suburban,3.2,45.0,Heart Condition,0,0,0,0,5,0,0,0,1,1,5,Chess,Low,Individual,Indoor,Low,100,U00100,4.2,0,1
32,Male,72.6,171.4,24.7,Lightly Active,Intermediate,Social / Meet People,Ambivert,Urban,2.9,27.0,None,0,0,0,1,3,2,1,1,1,2,5,Chess,Low,Individual,Indoor,Low,100,U00101,3.6,1,1
15,Female,87.3,170.6,30.0,Sedentary,Intermediate,Reduce Stress,Extrovert,Urban,5.1,5.0,Heart Condition,0,0,1,1,3,2,1,1,2,2,5,Chess,Low,Individual,Indoor,Low,100,U00102,4.7,0,0
13,Female,90.0,157.0,36.5,Sedentary,Advanced,Have Fun,Introvert,Rural,3.2,45.0,Heart Condition,0,0,1,0,3,2,0,0,0,0,4,Chess,Low,Individual,Indoor,Low,100,U00103,4.1,1,1
26,Female,83.9,165.3,30.7,Lightly Active,Advanced,Have Fun,Ambivert,Rural,3.9,4.0,Knee Pain,0,0,1,0,3,1,0,1,2,2,5,Chess,Low,Individual,Indoor,Low,100,U00104,5.0,1,1
51,Female,95.3,156.3,39.0,Sedentary,Advanced,Social / Meet People,Introvert,Suburban,1.9,46.0,Asthma,0,0,1,1,5,1,0,1,0,1,5,Chess,Low,Individual,Indoor,Low,100,U00105,3.8,1,1
66,Male,130.0,183.4,41.5,Sedentary,Intermediate,Have Fun,Ambivert,Suburban,1.9,18.0,Knee Pain,0,0,1,1,3,1,0,0,1,2,5,Chess,Low,Individual,Indoor,Low,100,U00106,4.5,1,1
17,Male,56.5,177.7,17.9,Lightly Active,Intermediate,Have Fun,Ambivert,Suburban,1.8,12.0,Asthma,0,0,1,0,5,0,0,1,0,2,5,Chess,Low,Individual,Indoor,Low,100,U00107,4.4,1,1
35,Male,72.0,164.2,26.7,Sedentary,Beginner,Reduce Stress,Introvert,Suburban,2.4,30.0,Knee Pain,0,0,0,1,4,0,0,0,0,2,5,Chess,Low,Individual,Indoor,Low,100,U00108,4.6,0,0
31,Female,107.3,164.6,39.6,Lightly Active,Intermediate,Reduce Stress,Extrovert,Rural,4.9,13.0,Heart Condition,0,0,0,1,5,0,1,0,2,1,3,Chess,Low,Individual,Indoor,Low,100,U00109,4.7,1,0
46,Female,101.9,170.4,35.1,Lightly Active,Advanced,Have Fun,Extrovert,Suburban,4.4,12.0,Knee Pain,0,0,0,1,4,1,0,1,1,1,3,Chess,Low,Individual,Indoor,Low,100,U00110,4.7,1,1
42,Female,74.3,161.7,28.4,Lightly Active,Intermediate,Reduce Stress,Introvert,Urban,4.2,38.0,Knee Pain,0,0,1,1,3,2,1,1,0,2,4,Chess,Low,Individual,Indoor,Low,100,U00111,4.9,0,1
52,Male,125.5,167.4,44.8,Lightly Active,Beginner,Have Fun,Extrovert,Urban,1.5,13.0,None,0,0,0,1,4,1,0,1,0,2,4,Chess,Low,Individual,Indoor,Low,100,U00112,4.3,0,1
52,Female,68.5,161.1,26.4,Lightly Active,Advanced,Have Fun,Introvert,Urban,2.5,20.0,Knee Pain,0,0,1,1,5,1,0,1,2,2,4,Chess,Low,Individual,Indoor,Low,100,U00113,4.4,1,1
67,Male,82.6,175.2,26.9,Lightly Active,Intermediate,Have Fun,Ambivert,Suburban,5.4,43.0,Back Pain,0,0,1,0,4,0,0,0,2,1,5,Chess,Low,Individual,Indoor,Low,100,U00114,3.9,1,1
9,Male,42.9,130.0,25.4,Lightly Active,Intermediate,Reduce Stress,Introvert,Suburban,1.7,43.0,Asthma,0,0,0,1,3,1,1,1,1,0,5,Chess,Low,Individual,Indoor,Low,100,U00115,4.0,1,1
42,Male,59.6,178.6,18.7,Sedentary,Intermediate,Have Fun,Ambivert,Urban,3.7,48.0,Asthma,0,0,0,0,4,1,0,1,2,1,3,Chess,Low,Individual,Indoor,Low,100,U00116,4.7,1,1
50,Female,94.5,169.0,33.1,Sedentary,Advanced,Social / Meet People,Ambivert,Urban,4.9,23.0,Knee Pain,0,0,1,0,4,0,0,1,2,0,5,Chess,Low,Individual,Indoor,Low,100,U00117,3.8,1,1
